hidden,dropout,lr,val_rmse,epochs,train_seconds
256x128x64,0.1,0.001,17.60308265686035,38,22.92569525
256x128x64,0.2,0.001,17.500202178955078,60,36.083203125
256x128x64,0.2,0.0005,17.375308990478516,63,39.366492625
512x256x128,0.2,0.001,17.220447540283203,52,47.38166691699999
512x256x128,0.3,0.001,17.108592987060547,72,66.01410262499999
