epoch,train_loss,val_rmse
1,0.8035462332369391,19.31232452392578
2,0.7189299387561349,18.868093490600586
3,0.6958181943032975,18.72605323791504
4,0.6781850664298935,18.50864028930664
5,0.6617585217922851,18.506223678588867
6,0.6433685845719245,18.24648666381836
7,0.6324689191385618,18.33686065673828
8,0.6194422772056178,18.073957443237305
9,0.6093698358894291,17.9443359375
10,0.5962029352044701,17.995824813842773
11,0.5877010403719164,17.85125732421875
12,0.5758560472024712,17.813405990600586
13,0.5670231339626742,17.865732192993164
14,0.5615676660944047,17.6356201171875
15,0.5504486640712671,17.6650447845459
16,0.5431065919883269,17.63200569152832
17,0.5344982425969346,17.615766525268555
18,0.5275522568231836,17.581457138061523
19,0.5224068820745426,17.60629653930664
20,0.5168927253398082,17.547565460205078
21,0.5101522277769887,17.485919952392578
22,0.5038635018266233,17.436861038208008
23,0.5012141890215097,17.489948272705078
24,0.4943825110815521,17.49239730834961
25,0.4879044138668175,17.457626342773438
26,0.48277005574159454,17.40328025817871
27,0.4765846420858139,17.495759963989258
28,0.4724254706479553,17.36064338684082
29,0.4683044019498323,17.22270393371582
30,0.4670650411727733,17.247325897216797
31,0.4654924602317332,17.298006057739258
32,0.4605449690137591,17.340892791748047
33,0.460214634425658,17.349485397338867
34,0.4514478304601253,17.489534378051758
35,0.44732932193536207,17.25629425048828
36,0.44651766578057656,17.378128051757812
37,0.4415216088773015,17.42943000793457
