model,seed,train_seconds,rmse,mae,r2
RandomForest,42,77.7677007499733,15.312330354849587,10.784898198286786,0.5244900980385259
LightGBM,42,30.988469460979104,14.562918465817742,9.771747223592204,0.5698956641114599
MLP_PyTorch,42,196.54692988900933,17.083814561470255,11.632865905761719,0.40810221433639526
RandomForest,7,77.04420979699353,15.274968590953073,10.759861558909051,0.5268077354038426
LightGBM,7,37.07170330302324,14.498731723706868,9.668695402731332,0.5736787185303811
MLP_PyTorch,7,204.1190388330142,17.144781785734946,11.623722076416016,0.4038701057434082
RandomForest,13,79.58347842603689,15.288449778184827,10.763157588277062,0.5259721188182738
LightGBM,13,33.584892444021534,14.526174648950919,9.726052387445135,0.5720633254629656
MLP_PyTorch,13,241.37338406598428,16.991729519690235,11.666105270385742,0.4144659638404846
