variant,rmse,mae,r2,train_seconds,n_features,delta_r2_vs_with_genre
with_genre,14.562918465817742,9.771747223592204,0.5698956641114599,,,0.0
no_genre,15.278960783209522,10.31216025979297,0.5265603605771134,34.088160528976005,31.0,-0.04333530353434645
