min_samples_leaf,max_features,val_rmse
1,sqrt,15.701476764005552
1,1.0,15.811014185634663
2,sqrt,16.34914534060734
2,1.0,15.78508704788239
5,sqrt,17.324451402387073
5,1.0,16.138292065100035
